experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,object_id,object_type,n_tokens,p_reuse,q_star_offline,q_star_pred,offline_cost,predicted_cost
H5,0.5,12.972,0.002,6486,rag_032,rag,64,0.720007,sparse_k,sparse_k,5.800384,4.023053
H5,0.5,12.972,0.002,6486,rag_040,rag,75,0.593958,sparse_k,int4,6.162402,4.499306
H5,0.5,12.972,0.002,6486,rag_003,rag,90,0.487431,sparse_k,int4,6.906252,5.159001
H5,0.5,12.972,0.002,6486,rag_010,rag,95,0.454946,sparse_k,int4,7.17715,5.405553
H5,0.5,12.972,0.002,6486,prefix_007,prefix,48,0.863395,sparse_k,sparse_k,5.213889,3.383467
H5,0.5,12.972,0.002,6486,prefix_005,prefix,55,0.728291,sparse_k,sparse_k,5.244624,3.6318
H5,0.5,12.972,0.002,6486,rag_009,rag,103,0.382828,sparse_k,int4,7.564595,5.827758
H5,0.5,12.972,0.002,6486,rag_051,rag,56,0.550384,sparse_k,sparse_k,4.774305,3.671275
H5,0.5,12.972,0.002,6486,longtail_086,longtail,74,0.367763,sparse_k,int4,5.41514,4.459591
H5,0.5,12.972,0.002,6486,rag_007,rag,50,0.538277,sparse_k,sparse_k,4.361733,3.449422
H5,0.5,12.972,0.002,6486,rag_017,rag,61,0.345607,sparse_k,sparse_k,4.481147,3.883639
H5,0.5,12.972,0.002,6486,longtail_060,longtail,92,0.210863,sparse_k,int4,6.223058,5.256022
H5,0.5,12.972,0.002,6486,rag_037,rag,34,0.526006,sparse_k,int4,3.29468,2.552124
H5,0.5,12.972,0.002,6486,longtail_024,longtail,53,0.318248,sparse_k,sparse_k,3.888522,3.55585
H5,0.5,12.972,0.002,6486,rag_038,rag,41,0.409188,sparse_k,int4,3.428819,3.154059
H5,0.5,12.972,0.002,6486,longtail_030,longtail,36,0.194314,sparse_k,int4,2.490777,2.72144
H5,0.5,12.972,0.002,6486,longtail_071,longtail,34,0.201726,sparse_k,int4,2.368536,2.552124
